freq,phase(Zin2)
2830000000.0000000000,-88.9729694393
2835000000.0000000000,-88.9673340385
2840000000.0000000000,-88.9616326402
2844999999.9999995232,-88.9556965472
2850000000.0000000000,-88.9497810990
2855000000.0000000000,-88.9438865416
2860000000.0000004768,-88.9380131265
2865000000.0000000000,-88.9320832087
2870000000.0000000000,-88.9259634099
2875000000.0000000000,-88.9198620450
2880000000.0000000000,-88.9137793344
2885000000.0000000000,-88.9077155034
2889999999.9999995232,-88.9015739792
2895000000.0000000000,-88.8952034989
2900000000.0000000000,-88.8888485647
2905000000.0000004768,-88.8825093608
2910000000.0000000000,-88.8761860753
2915000000.0000000000,-88.8697881919
2920000000.0000000000,-88.8631861887
2925000000.0000000000,-88.8565969525
2930000000.0000000000,-88.8500206319
2935000000.0000000000,-88.8434573788
2940000000.0000000000,-88.8368072017
2945000000.0000000000,-88.8299396825
2950000000.0000000000,-88.8230817997
2955000000.0000000000,-88.8162336599
2960000000.0000000000,-88.8093953723
2965000000.0000000000,-88.8024540692
2969999999.9999995232,-88.7952758381
2975000000.0000000000,-88.7881036785
2980000000.0000000000,-88.7809376474
2985000000.0000004768,-88.7737778031
2990000000.0000000000,-88.7665382251
2995000000.0000000000,-88.7591261843
3000000000.0000000000,-88.7517172586
3005000000.0000000000,-88.7443114632
3010000000.0000000000,-88.7369088135
3014999999.9999995232,-88.7293797847
3020000000.0000000000,-88.7215981853
3025000000.0000000000,-88.7138153410
3030000000.0000004768,-88.7060312016
3035000000.0000000000,-88.6982457161
3040000000.0000000000,-88.6903503545
3045000000.0000000000,-88.6822496593
3050000000.0000000000,-88.6741438265
3055000000.0000000000,-88.6660327460
3060000000.0000000000,-88.6579163056
3065000000.0000000000,-88.6496847407
3070000000.0000000000,-88.6412511880
3075000000.0000000000,-88.6328082447
3080000000.0000000000,-88.6243557331
3085000000.0000000000,-88.6158934716
3090000000.0000000000,-88.6073139429
3094999999.9999995232,-88.5985411001
3100000000.0000000000,-88.5897545417
3105000000.0000000000,-88.5809540185
3110000000.0000004768,-88.5721392761
3115000000.0000000000,-88.5631557962
3120000000.0000000000,-88.5539066963
3125000000.0000000000,-88.5446378840
3130000000.0000000000,-88.5353490083
3135000000.0000000000,-88.5260397105
3139999999.9999995232,-88.5166060199
3145000000.0000000000,-88.5069903491
3150000000.0000000000,-88.4973500390
3155000000.0000004768,-88.4876846512
3160000000.0000000000,-88.4779937375
3165000000.0000000000,-88.4681212904
3170000000.0000000000,-88.4579918750
3175000000.0000000000,-88.4478310235
3180000000.0000000000,-88.4376381738
3185000000.0000000000,-88.4274127516
3190000000.0000000000,-88.4170102289
3195000000.0000000000,-88.4063703664
3200000000.0000000000,-88.3956920783
3204999999.9999995232,-88.3849746712
3210000000.0000000000,-88.3742174358
3215000000.0000000000,-88.3632884571
3220000000.0000000000,-88.3521409101
3225000000.0000000000,-88.3409477394
3229999999.9999995232,-88.3297081107
3235000000.0000004768,-88.3184211699
3240000000.0000000000,-88.3069459337
3245000000.0000000000,-88.2952406481
3250000000.0000000000,-88.2834816402
3255000000.0000000000,-88.2716679122
3260000000.0000000000,-88.2597984419
3264999999.9999995232,-88.2476881435
3270000000.0000004768,-88.2352927075
3275000000.0000000000,-88.2228335242
3280000000.0000000000,-88.2103093884
3285000000.0000000000,-88.1977190652
3290000000.0000000000,-88.1849284787
3295000000.0000004768,-88.1719123572
3300000000.0000000000,-88.1588228657
3304999999.9999995232,-88.1456585901
3310000000.0000000000,-88.1324180801
3315000000.0000000000,-88.1189247024
3320000000.0000004768,-88.1051544040
3325000000.0000000000,-88.0912989533
3329999999.9999995232,-88.0773566746
3335000000.0000000000,-88.0633258487
3340000000.0000000000,-88.0490076489
3345000000.0000000000,-88.0343845976
3350000000.0000000000,-88.0196628180
3354999999.9999995232,-88.0048403233
3360000000.0000004768,-87.9899150738
3365000000.0000000000,-87.9747173212
3370000000.0000000000,-87.9592394926
3375000000.0000000000,-87.9436485903
